bundle,spm,ok,durationSec,measuredSpm,measuredWpm,derivedBaseSpm,sttScore,elapsedMs,error,url
GCP-Jeremy-Default,base,True,5.184,266.2,208.3,,,931,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/e8e0eeaa-85d7-47fb-8598-7a5a9ce96202.mp3
GCP-Jeremy-Default,163,True,7.584,182.0,142.4,238.5,,614,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/4534289f-8f40-4555-8515-821ec378d0f1.mp3
GCP-Jeremy-Default,90,True,13.704,100.7,78.8,237.9,,616,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/6398716c-298c-40eb-8d3f-4fb37ae6c6ef.mp3
GCP-Jeremy-Default,110,True,11.208,123.1,96.4,237.8,,561,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/0ec58e0a-cf8a-4e7d-b5a1-445deaf0ef97.mp3
GCP-Jeremy-Default,130,True,9.504,145.2,113.6,238.3,,552,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a25a08fe-8c19-4818-96e3-40b09a8300e7.mp3
GCP-Jeremy-Default,145,True,8.52,162.0,126.8,238.3,,724,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/8fe15cca-1c5f-4442-ab10-283a1c7f5726.mp3
GCP-Jeremy-Default,180,True,6.888,200.3,156.8,239.2,,493,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/d4b84374-b919-451f-8858-4d9815317ff6.mp3
GCP-Jeremy-Default,195,True,6.384,216.2,169.2,240.1,,636,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/94a83b8b-2a2a-40c4-9c8f-90aec5a1d60f.mp3
GCP-Jeremy-Default,220,True,5.664,243.6,190.7,240.4,,622,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/5ea08851-7f37-4538-b37f-20420aa3ca86.mp3
GCP-Jeremy-Default,250,True,4.968,277.8,217.4,239.6,,518,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/168b2233-3111-4e70-8c87-695653d6a215.mp3
AWS-Kevin-Default,base,True,4.464,309.1,241.9,,,1020,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/602a68cc-f8ac-42f3-abc8-a964045c8254.mp3
AWS-Kevin-Default,163,True,6.168,223.7,175.1,225.2,,474,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/391925f7-1eee-4f2f-85c4-7efb9b899903.mp3
AWS-Kevin-Default,90,True,10.968,125.8,98.5,221.1,,559,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/5f744edf-9ffe-451c-93bc-8fde1e7d7e44.mp3
AWS-Kevin-Default,110,True,8.976,153.7,120.3,221.2,,746,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/16002f24-c78d-4890-835f-2f0c07aa507f.mp3
AWS-Kevin-Default,130,True,7.608,181.4,142.0,221.6,,675,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/fb07ae0c-ccc4-4965-8621-aaf2e8c8075f.mp3
AWS-Kevin-Default,145,True,6.912,199.7,156.2,224.5,,731,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/657a44b3-d890-425d-a28b-74b1287b6e4b.mp3
AWS-Kevin-Default,180,True,5.568,247.8,194.0,224.5,,455,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/514696c9-e169-4639-8e7c-5f8f980c4800.mp3
AWS-Kevin-Default,195,True,5.184,266.2,208.3,226.5,,670,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a83cdea0-3eac-43b3-8687-9239b73882b8.mp3
AWS-Kevin-Default,220,True,4.608,299.5,234.4,227.1,,645,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/1e4c5c54-89bd-431b-b21f-98c581b969c7.mp3
AWS-Kevin-Default,250,True,4.104,336.3,263.2,229.8,,544,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/8cf41a57-c15b-467f-8f2c-a306700062c6.mp3
AWS-Justin-Default,base,True,4.752,290.4,227.3,,,1023,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/95a937fb-6523-4637-9ed8-b46b8a9d4454.mp3
AWS-Justin-Default,163,True,6.216,222.0,173.7,213.2,,647,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/3585d562-25f3-46ce-9a0f-d91a4df48cc4.mp3
